Tanggal Transaksi,iPhone Terjual,iPad Terjual,MacBook Terjual,Jumlah Transaksi,Total Pendapatan
31/10/2021,588,634,917,2139,47200600000
01/11/2021,567,838,205,1610,25578300000
02/11/2021,555,205,416,1176,17671100000
03/11/2021,188,782,702,1672,22075400000
04/11/2021,811,768,282,1861,33778100000
05/11/2021,575,887,647,2109,32025400000
06/11/2021,195,546,973,1714,56964100000
07/11/2021,84,56,644,784,16147600000
08/11/2021,92,800,245,1137,16769400000
09/11/2021,616,579,770,1965,51922900000
10/11/2021,555,194,617,1366,26349800000
11/11/2021,923,825,37,1785,23976700000
12/11/2021,645,881,612,2138,29907800000
13/11/2021,181,72,99,352,4613000000
14/11/2021,449,395,386,1230,18080800000
15/11/2021,266,675,170,1111,12728800000
16/11/2021,156,697,316,1169,22907400000
17/11/2021,616,857,579,2052,28571300000
18/11/2021,521,960,949,2430,25072300000
19/11/2021,771,24,629,1424,22044100000
20/11/2021,850,796,136,1782,28983000000
21/11/2021,725,283,245,1253,24107100000
22/11/2021,929,666,519,2114,39770700000
23/11/2021,851,799,167,1817,24987600000
24/11/2021,431,266,606,1303,39972900000
25/11/2021,817,99,177,1093,20337600000
26/11/2021,897,599,536,2032,26293500000
27/11/2021,546,557,388,1491,23911100000
28/11/2021,598,673,610,1881,40936800000
29/11/2021,877,817,312,2006,29550500000
30/11/2021,721,364,845,1930,26947200000
01/12/2021,169,115,544,828,21056600000
02/12/2021,110,431,421,962,18212700000
03/12/2021,429,532,227,1188,16895400000
04/12/2021,55,906,887,1848,35317300000
05/12/2021,911,624,357,1892,25507400000
06/12/2021,267,715,71,1053,12325300000
07/12/2021,215,597,905,1717,18269000000
08/12/2021,381,357,467,1205,26767500000
09/12/2021,790,845,359,1994,29059900000
10/12/2021,98,511,561,1170,21469200000
11/12/2021,365,728,957,2050,21834800000
12/12/2021,457,441,351,1249,22506900000
13/12/2021,534,863,246,1643,24633200000
14/12/2021,458,769,428,1655,33812600000
15/12/2021,276,767,994,2037,50347300000
16/12/2021,400,482,319,1201,25817700000
17/12/2021,355,592,614,1561,27999200000
18/12/2021,151,358,163,672,9847500000
19/12/2021,565,408,54,1027,12543100000
20/12/2021,658,877,175,1710,21140600000
21/12/2021,437,85,326,848,11436600000
22/12/2021,318,72,537,927,15992100000
23/12/2021,897,773,451,2121,42972900000
24/12/2021,531,589,214,1334,21435800000
25/12/2021,971,453,129,1553,26784100000
26/12/2021,378,258,535,1171,11686600000
27/12/2021,462,241,690,1393,16251000000
28/12/2021,710,871,571,2152,33439400000
29/12/2021,960,901,174,2035,28766900000
30/12/2021,382,779,930,2091,60972500000
31/12/2021,709,261,200,1170,20595300000
01/01/2022,980,610,279,1869,25848500000
02/01/2022,833,803,707,2343,34639000000
03/01/2022,471,50,816,1337,29381000000
04/01/2022,807,668,127,1602,23730600000
05/01/2022,140,927,290,1357,15316700000
06/01/2022,668,590,746,2004,39954400000
07/01/2022,613,227,163,1003,14833600000
08/01/2022,467,195,717,1379,40387300000
09/01/2022,174,633,454,1261,19488100000
10/01/2022,982,151,249,1382,21293800000
11/01/2022,436,579,631,1646,30103700000
12/01/2022,667,83,931,1681,30981600000
13/01/2022,488,716,165,1369,18112500000
14/01/2022,534,468,323,1325,20957400000
15/01/2022,704,531,283,1518,24370100000
16/01/2022,171,953,339,1463,20325200000
17/01/2022,880,415,32,1327,19048600000
18/01/2022,111,674,888,1673,40019300000
19/01/2022,995,784,610,2389,40542500000
20/01/2022,768,395,178,1341,26480500000
21/01/2022,742,586,71,1399,21729200000
22/01/2022,751,65,112,928,17920100000
23/01/2022,469,25,110,604,9944800000
24/01/2022,438,954,248,1640,20911800000
25/01/2022,95,859,224,1178,16032000000
26/01/2022,501,724,562,1787,37622500000
27/01/2022,757,844,799,2400,45282200000
28/01/2022,102,235,847,1184,31162600000
29/01/2022,423,490,142,1055,10922300000
30/01/2022,126,536,54,716,11544400000
31/01/2022,280,558,814,1652,39737400000
01/02/2022,887,53,985,1925,43305600000
02/02/2022,394,446,586,1426,35978200000
03/02/2022,107,654,75,836,10042600000
04/02/2022,928,710,302,1940,31132200000
05/02/2022,815,103,33,951,15363200000
06/02/2022,770,457,238,1465,23299200000
07/02/2022,663,573,492,1728,30803100000
08/02/2022,519,936,603,2058,25957200000
09/02/2022,660,559,701,1920,49124200000
10/02/2022,329,657,858,1844,39852500000
11/02/2022,311,282,255,848,15852800000
12/02/2022,308,739,674,1721,30734500000
13/02/2022,179,785,71,1035,10576200000
14/02/2022,378,248,11,637,9871200000
15/02/2022,432,472,385,1289,20450200000
16/02/2022,686,492,380,1558,26594000000
17/02/2022,721,181,859,1761,37932900000
18/02/2022,995,118,802,1915,32311300000
19/02/2022,669,50,82,801,9725300000
20/02/2022,231,441,327,999,20872500000
21/02/2022,881,72,728,1681,40530700000
22/02/2022,496,355,902,1753,28859700000
23/02/2022,527,666,578,1771,17736400000
24/02/2022,874,69,181,1124,14970300000
25/02/2022,238,449,523,1210,16801900000
26/02/2022,870,118,842,1830,45210000000
27/02/2022,381,617,830,1828,38596000000
28/02/2022,206,643,730,1579,23252300000
01/03/2022,468,114,133,715,10102600000
02/03/2022,935,488,888,2311,54649800000
03/03/2022,81,226,98,405,5076300000
04/03/2022,641,875,765,2281,41386900000
05/03/2022,777,407,314,1498,13921500000
06/03/2022,406,172,566,1144,22707200000
07/03/2022,961,855,50,1866,22587400000
08/03/2022,495,60,721,1276,28364800000
09/03/2022,980,230,295,1505,22067000000
10/03/2022,907,992,603,2502,34302500000
11/03/2022,61,877,132,1070,14367200000
12/03/2022,312,321,353,986,20563600000
13/03/2022,266,973,542,1781,37567100000
14/03/2022,358,394,763,1515,15533400000
15/03/2022,90,265,927,1282,28844500000
16/03/2022,690,845,45,1580,19998000000
17/03/2022,354,321,995,1670,31732900000
18/03/2022,669,482,359,1510,29867500000
19/03/2022,369,46,785,1200,17207000000
20/03/2022,260,16,576,852,22941600000
21/03/2022,751,318,745,1814,50336300000
22/03/2022,410,429,482,1321,33211800000
23/03/2022,695,543,766,2004,42288200000
24/03/2022,836,399,748,1983,25770300000
25/03/2022,620,219,541,1380,31765000000
26/03/2022,600,785,467,1852,36698900000
27/03/2022,146,188,540,874,28019800000
28/03/2022,904,416,793,2113,47715200000
29/03/2022,497,297,23,817,9604600000
30/03/2022,605,827,584,2016,24393700000
31/03/2022,358,881,715,1954,20048900000
01/04/2022,389,493,547,1429,29850900000
02/04/2022,399,451,226,1076,18585700000
03/04/2022,392,314,192,898,11986000000
04/04/2022,423,720,596,1739,24979200000
05/04/2022,575,55,527,1157,26801500000
06/04/2022,125,401,290,816,14420600000
07/04/2022,590,450,592,1632,32190600000
08/04/2022,69,704,319,1092,14377400000
09/04/2022,113,657,64,834,9105700000
10/04/2022,502,628,521,1651,31012500000
11/04/2022,547,461,457,1465,21564700000
12/04/2022,810,514,382,1706,33685600000
13/04/2022,974,844,955,2773,50517900000
14/04/2022,543,908,541,1992,32506800000
15/04/2022,475,824,769,2068,28147700000
16/04/2022,133,843,990,1966,52101900000
17/04/2022,596,92,670,1358,38367200000
18/04/2022,689,898,886,2473,50154200000
19/04/2022,389,794,795,1978,51562500000
20/04/2022,426,651,398,1475,23970200000
21/04/2022,605,475,115,1195,15920000000
22/04/2022,213,505,335,1053,23393400000
23/04/2022,421,534,727,1682,25111900000
24/04/2022,642,284,546,1472,28086400000
25/04/2022,371,528,517,1416,35796000000
26/04/2022,199,542,128,869,11005100000
27/04/2022,677,96,752,1525,40976800000
28/04/2022,240,510,565,1315,34409500000
29/04/2022,495,985,958,2438,44171400000
30/04/2022,451,898,215,1564,24567000000
01/05/2022,943,55,958,1956,32229300000
02/05/2022,330,599,774,1703,48497600000
03/05/2022,314,863,723,1900,38625600000
04/05/2022,666,398,191,1255,18875400000
05/05/2022,352,163,702,1217,37408100000
06/05/2022,480,790,589,1859,37816900000
07/05/2022,523,400,575,1498,32333600000
08/05/2022,742,374,722,1838,42698400000
09/05/2022,545,374,768,1687,23459200000
10/05/2022,459,335,110,904,12412500000
11/05/2022,766,856,865,2487,27453200000
12/05/2022,467,909,271,1647,24698600000
13/05/2022,441,116,497,1054,27830300000
14/05/2022,691,287,515,1493,28576900000
15/05/2022,427,416,478,1321,31150700000
16/05/2022,587,962,283,1832,25881200000
17/05/2022,246,318,192,756,10051200000
18/05/2022,724,175,800,1699,24944000000
19/05/2022,115,522,42,679,7868400000
20/05/2022,415,698,19,1132,15279200000
21/05/2022,617,286,366,1269,22536100000
22/05/2022,924,17,602,1543,36706200000
23/05/2022,602,761,149,1512,19783700000
24/05/2022,754,904,732,2390,31058200000
25/05/2022,814,66,79,959,19162500000
26/05/2022,365,949,181,1495,25524100000
27/05/2022,708,760,897,2365,59074500000
28/05/2022,634,573,882,2089,26233300000
29/05/2022,135,72,797,1004,37584000000
30/05/2022,365,593,929,1887,34864400000
31/05/2022,232,247,478,957,22471000000
01/06/2022,504,143,421,1068,31011400000
02/06/2022,98,743,750,1591,30659200000
03/06/2022,443,944,303,1690,27962200000
04/06/2022,213,282,572,1067,29770800000
05/06/2022,693,943,421,2057,32438900000
06/06/2022,484,576,526,1586,29342800000
07/06/2022,679,498,449,1626,30909500000
08/06/2022,404,136,253,793,15602900000
09/06/2022,605,220,312,1137,27043200000
10/06/2022,152,52,607,811,17124800000
11/06/2022,996,31,964,1991,40085100000
12/06/2022,799,46,524,1369,28199500000
13/06/2022,565,558,174,1297,22500600000
14/06/2022,786,251,530,1567,43135400000
15/06/2022,160,32,652,844,22013600000
16/06/2022,371,597,695,1663,21875100000
17/06/2022,407,783,236,1426,23856700000
18/06/2022,442,846,554,1842,27854400000
19/06/2022,533,535,312,1380,21918100000
20/06/2022,833,675,455,1963,27341900000
21/06/2022,837,390,390,1617,30969300000
22/06/2022,506,840,633,1979,40273300000
23/06/2022,987,515,682,2184,43617000000
24/06/2022,105,832,117,1054,9893900000
25/06/2022,317,249,468,1034,15282800000
26/06/2022,491,687,132,1310,17165900000
27/06/2022,105,860,149,1114,20753100000
28/06/2022,615,116,252,983,25422600000
29/06/2022,879,107,514,1500,33432900000
30/06/2022,162,36,38,236,4609000000
01/07/2022,776,663,579,2018,35968300000
02/07/2022,691,273,317,1281,29299100000
03/07/2022,260,188,966,1414,45189400000
04/07/2022,830,64,477,1371,17092400000
05/07/2022,415,76,307,798,10204500000
06/07/2022,715,602,523,1840,28346800000
07/07/2022,133,325,585,1043,20944600000
08/07/2022,766,515,390,1671,17161600000
09/07/2022,678,857,139,1674,29218800000
10/07/2022,649,19,174,842,20500600000
11/07/2022,277,829,470,1576,17137300000
12/07/2022,838,331,744,1913,53749400000
13/07/2022,738,468,636,1842,32023800000
14/07/2022,333,597,421,1351,25332200000
15/07/2022,864,467,863,2194,52923600000
16/07/2022,91,90,55,236,2967400000
17/07/2022,158,761,489,1408,18750700000
18/07/2022,767,306,878,1951,22819700000
19/07/2022,148,418,333,899,18817000000
20/07/2022,736,250,572,1558,28632800000
21/07/2022,725,305,611,1641,25189800000
22/07/2022,848,684,396,1928,24218800000
23/07/2022,157,321,951,1429,43238900000
24/07/2022,227,373,704,1304,31095500000
25/07/2022,866,311,480,1657,23816800000
26/07/2022,340,866,539,1745,15567500000
27/07/2022,393,519,603,1515,22353900000
28/07/2022,329,464,373,1166,31078100000
29/07/2022,709,878,356,1943,34462500000
30/07/2022,527,435,148,1110,13001200000
31/07/2022,491,534,860,1885,47614200000
01/08/2022,176,992,270,1438,14032000000
02/08/2022,542,562,672,1776,33749400000
03/08/2022,207,400,221,828,11720600000
04/08/2022,743,827,274,1844,27962400000
05/08/2022,190,328,384,902,19190600000
06/08/2022,167,310,350,827,13601500000
07/08/2022,141,841,912,1894,23805900000
08/08/2022,845,108,659,1612,25119100000
09/08/2022,536,793,992,2321,33537400000
10/08/2022,241,405,422,1068,17985500000
11/08/2022,441,967,285,1693,18351600000
12/08/2022,520,400,928,1848,42490400000
13/08/2022,601,930,577,2108,39788000000
14/08/2022,91,841,467,1399,21625100000
15/08/2022,661,903,208,1772,25444300000
16/08/2022,761,245,679,1685,29670200000
17/08/2022,452,271,586,1309,27025700000
18/08/2022,984,227,969,2180,53606100000
19/08/2022,484,114,39,637,10061100000
20/08/2022,226,470,145,841,7960900000
21/08/2022,898,798,635,2331,47277600000
22/08/2022,242,820,576,1638,38480400000
23/08/2022,438,788,490,1716,39603800000
24/08/2022,530,382,570,1482,16466200000
25/08/2022,540,977,548,2065,30149500000
26/08/2022,354,489,367,1210,15975200000
27/08/2022,926,228,175,1329,17620500000
28/08/2022,255,107,779,1141,19776700000
29/08/2022,531,786,136,1453,21435300000
30/08/2022,384,427,625,1436,36667100000
31/08/2022,162,955,280,1397,25679600000
01/09/2022,354,323,363,1040,22070500000
02/09/2022,583,857,860,2300,46780100000
03/09/2022,615,925,501,2041,34067300000
04/09/2022,762,933,107,1802,28097200000
05/09/2022,396,810,259,1465,12201800000
06/09/2022,976,460,511,1947,31482400000
07/09/2022,355,774,598,1727,32990000000
08/09/2022,81,927,470,1478,15343500000
09/09/2022,526,918,979,2423,59103700000
10/09/2022,121,983,454,1558,19970800000
11/09/2022,927,457,327,1711,26759100000
12/09/2022,784,321,158,1263,15341100000
13/09/2022,331,713,232,1276,15915800000
14/09/2022,929,314,89,1332,15554400000
15/09/2022,738,532,268,1538,25583200000
16/09/2022,699,439,795,1933,23322900000
17/09/2022,433,571,13,1017,9701300000
18/09/2022,113,759,925,1797,45615700000
19/09/2022,730,465,104,1299,16383100000
20/09/2022,871,215,647,1733,20882900000
21/09/2022,786,93,83,962,18899500000
22/09/2022,948,196,162,1306,24410600000
23/09/2022,72,895,808,1775,45308100000
24/09/2022,211,675,570,1456,22489100000
25/09/2022,981,223,568,1772,29733100000
26/09/2022,592,504,841,1937,39170300000
27/09/2022,460,418,165,1043,13191600000
28/09/2022,138,410,558,1106,19009000000
29/09/2022,641,584,628,1853,33512000000
30/09/2022,944,963,23,1930,27809600000
01/10/2022,508,203,246,957,20141500000
02/10/2022,790,963,976,2729,41351800000
03/10/2022,921,530,678,2129,22659700000
04/10/2022,783,981,803,2567,39355100000
05/10/2022,200,252,195,647,7102700000
06/10/2022,404,898,408,1710,22398800000
07/10/2022,263,642,455,1360,16823000000
08/10/2022,259,705,213,1177,23478000000
09/10/2022,743,79,521,1343,38872600000
10/10/2022,383,191,169,743,12270200000
11/10/2022,78,527,282,887,9701700000
12/10/2022,218,772,160,1150,18315000000
13/10/2022,288,824,969,2081,36635600000
14/10/2022,521,122,535,1178,26596000000
15/10/2022,444,371,297,1112,18106500000
16/10/2022,952,551,809,2312,54629200000
17/10/2022,130,955,124,1209,18705300000
18/10/2022,666,164,77,907,16010500000
19/10/2022,542,697,21,1260,11666100000
20/10/2022,305,916,125,1346,18955500000
21/10/2022,364,547,721,1632,40281400000
22/10/2022,976,320,211,1507,19682500000
23/10/2022,697,803,669,2169,35147500000
24/10/2022,172,734,132,1038,15132400000
25/10/2022,972,501,912,2385,49083300000
26/10/2022,413,560,907,1880,21438500000
27/10/2022,212,934,698,1844,33164400000
28/10/2022,282,615,504,1401,14475000000
29/10/2022,465,983,113,1561,26566500000
30/10/2022,478,192,641,1311,25909300000
31/10/2022,435,109,289,833,13029600000
01/11/2022,932,827,350,2109,35328500000
02/11/2022,783,394,888,2065,39388000000
03/11/2022,663,367,517,1547,23390000000
04/11/2022,346,391,713,1450,28476500000
05/11/2022,908,686,320,1914,29462200000
06/11/2022,737,874,191,1802,25403100000
07/11/2022,668,236,920,1824,36410800000
08/11/2022,288,538,893,1719,44187600000
09/11/2022,602,209,615,1426,27001300000
10/11/2022,740,350,250,1340,16715000000
11/11/2022,574,602,485,1661,22476300000
12/11/2022,256,465,742,1463,36165000000
13/11/2022,467,665,315,1447,28455700000
14/11/2022,899,882,303,2084,41319300000
15/11/2022,621,744,493,1858,31288600000
16/11/2022,928,580,213,1721,25505700000
17/11/2022,920,444,287,1651,24921300000
18/11/2022,942,747,882,2571,27417600000
19/11/2022,177,563,642,1382,31583800000
20/11/2022,418,687,719,1824,35522900000
21/11/2022,423,712,887,2022,45785800000
22/11/2022,960,771,610,2341,38294400000
23/11/2022,304,254,403,961,22615100000
24/11/2022,313,472,568,1353,22304800000
25/11/2022,116,117,940,1173,27311300000
26/11/2022,331,980,521,1832,36314400000
27/11/2022,1000,777,397,2174,31917000000
28/11/2022,112,39,827,978,38508200000
29/11/2022,593,227,503,1323,29123400000
30/11/2022,336,746,118,1200,12424200000
01/12/2022,592,675,107,1374,17463700000
02/12/2022,635,19,902,1556,39223300000
03/12/2022,891,932,575,2398,46021700000
04/12/2022,516,29,465,1010,29537700000
05/12/2022,753,969,660,2382,38370000000
06/12/2022,200,92,735,1027,24960500000
07/12/2022,768,271,882,1921,41883300000
08/12/2022,638,286,88,1012,19302800000
09/12/2022,408,774,914,2096,39145600000
10/12/2022,161,499,918,1578,29334800000
11/12/2022,662,820,859,2341,33946600000
12/12/2022,122,553,798,1473,34971500000
13/12/2022,670,219,236,1125,20061900000
14/12/2022,813,808,290,1911,24812300000
15/12/2022,176,110,912,1198,44540000000
16/12/2022,340,760,468,1568,22988400000
17/12/2022,881,344,312,1537,19024500000
18/12/2022,939,52,593,1584,40600500000
19/12/2022,225,147,288,660,14240100000
20/12/2022,531,485,340,1356,20750000000
21/12/2022,851,942,329,2122,20944200000
22/12/2022,565,267,860,1692,32595900000
23/12/2022,948,411,360,1719,30081300000
24/12/2022,424,316,452,1192,31463200000
25/12/2022,470,452,818,1740,33133600000
26/12/2022,305,891,491,1687,18494400000
27/12/2022,755,798,446,1999,38834100000
28/12/2022,637,841,122,1600,21254500000
29/12/2022,261,137,414,812,13739200000
30/12/2022,985,970,663,2618,47995900000
31/12/2022,224,116,734,1074,20837800000
01/01/2023,836,233,398,1467,24641600000
02/01/2023,834,45,485,1364,22252300000
03/01/2023,509,643,345,1497,24786300000
04/01/2023,246,275,993,1514,35305900000
05/01/2023,456,479,977,1912,27872800000
06/01/2023,720,806,43,1569,23072900000
07/01/2023,625,980,860,2465,41612500000
08/01/2023,898,512,450,1860,24411800000
09/01/2023,184,881,297,1362,16165200000
10/01/2023,260,647,763,1670,41951300000
11/01/2023,357,247,221,825,14487900000
12/01/2023,854,724,567,2145,28923400000
13/01/2023,429,323,442,1194,21601700000
14/01/2023,140,352,186,678,10121000000
15/01/2023,556,341,578,1475,30952300000
16/01/2023,299,631,315,1245,12105200000
17/01/2023,119,206,562,887,32135300000
18/01/2023,922,289,924,2135,24976200000
19/01/2023,212,903,724,1839,35499200000
20/01/2023,172,393,539,1104,28330300000
21/01/2023,201,811,59,1071,10484100000
22/01/2023,130,204,230,564,7928000000
23/01/2023,993,757,118,1868,30166000000
24/01/2023,878,777,642,2297,29493100000
25/01/2023,322,452,968,1742,17033600000
26/01/2023,300,383,749,1432,43954400000
27/01/2023,970,841,663,2474,55665800000
28/01/2023,72,170,390,632,8306600000
29/01/2023,349,536,991,1876,30286000000
30/01/2023,726,38,648,1412,22829000000
31/01/2023,598,361,119,1078,12720200000
01/02/2023,148,706,775,1629,26958500000
02/02/2023,662,861,286,1809,23299100000
03/02/2023,969,807,27,1803,19120200000
04/02/2023,549,308,512,1369,27576800000
05/02/2023,590,671,93,1354,13956400000
06/02/2023,933,92,157,1182,20918800000
07/02/2023,199,253,617,1069,21099000000
08/02/2023,733,674,677,2084,21930200000
09/02/2023,501,677,752,1930,38649800000
10/02/2023,639,849,479,1967,44948400000
11/02/2023,836,779,227,1842,25517500000
12/02/2023,496,813,740,2049,35555000000
13/02/2023,103,500,809,1412,18359000000
14/02/2023,440,98,251,789,18265700000
15/02/2023,344,382,806,1532,30446600000
16/02/2023,583,882,387,1852,23917000000
17/02/2023,275,565,911,1751,46268300000
18/02/2023,149,852,67,1068,9762700000
19/02/2023,391,447,246,1084,18784000000
20/02/2023,958,17,118,1093,22352400000
21/02/2023,534,705,698,1937,31655500000
22/02/2023,822,495,988,2305,41480400000
23/02/2023,947,959,357,2263,31066900000
24/02/2023,924,460,612,1996,50233200000
25/02/2023,789,866,732,2387,53624000000
26/02/2023,465,885,961,2311,49766900000
27/02/2023,81,547,573,1201,26839200000
28/02/2023,169,683,387,1239,20553300000
01/03/2023,357,260,569,1186,17836500000
02/03/2023,730,187,531,1448,23046300000
03/03/2023,394,787,269,1450,18946000000
04/03/2023,688,684,168,1540,19490000000
05/03/2023,323,84,227,634,9889000000
06/03/2023,661,784,605,2050,44718400000
07/03/2023,889,240,32,1161,12437400000
08/03/2023,649,930,692,2271,44673200000
09/03/2023,941,54,70,1065,14208100000
10/03/2023,581,640,65,1286,18184100000
11/03/2023,105,248,971,1324,28371200000
12/03/2023,111,292,367,770,17188200000
13/03/2023,547,943,228,1718,33258500000
14/03/2023,988,524,26,1538,28352400000
15/03/2023,556,614,248,1418,23293600000
16/03/2023,566,919,439,1924,44703500000
17/03/2023,465,409,118,992,16570400000
18/03/2023,334,649,374,1357,30404700000
19/03/2023,804,739,715,2258,29449200000
20/03/2023,815,623,457,1895,30660600000
21/03/2023,142,84,201,427,12191700000
22/03/2023,73,650,696,1419,37700500000
23/03/2023,539,405,925,1869,33194000000
24/03/2023,250,410,670,1330,32647000000
25/03/2023,778,373,176,1327,21490700000
26/03/2023,703,704,57,1464,16062400000
27/03/2023,475,279,877,1631,53130700000
28/03/2023,136,908,819,1863,18323900000
29/03/2023,930,542,487,1959,26558800000
30/03/2023,818,379,844,2041,30313000000
31/03/2023,592,566,934,2092,35635800000
01/04/2023,115,915,660,1690,17820000000
02/04/2023,438,473,360,1271,25927600000
03/04/2023,516,577,44,1137,19546300000
04/04/2023,385,115,724,1224,35657900000
05/04/2023,533,408,769,1710,26889900000
06/04/2023,690,66,724,1480,28952400000
07/04/2023,834,706,218,1758,27766000000
08/04/2023,969,642,448,2059,33521100000
09/04/2023,513,580,898,1991,38239600000
10/04/2023,325,671,797,1793,22941400000
11/04/2023,85,654,543,1282,33324400000
12/04/2023,725,656,431,1812,25718400000
13/04/2023,569,363,326,1258,20306700000
14/04/2023,286,899,368,1553,19958600000
15/04/2023,524,24,539,1087,25565000000
16/04/2023,565,12,817,1394,22392300000
17/04/2023,840,197,781,1818,32157000000
18/04/2023,319,10,94,423,5949200000
19/04/2023,234,101,85,420,7617300000
20/04/2023,629,436,66,1131,17068400000
21/04/2023,80,722,719,1521,40578100000
22/04/2023,456,468,385,1309,24860200000
23/04/2023,425,322,585,1332,26842300000
24/04/2023,105,216,827,1148,21898400000
25/04/2023,411,850,821,2082,45080700000
26/04/2023,180,38,797,1015,39642100000
27/04/2023,158,839,935,1932,45284600000
28/04/2023,514,283,196,993,19893000000
29/04/2023,69,95,884,1048,44170500000
30/04/2023,266,118,438,822,17496800000
01/05/2023,813,128,983,1924,50435100000
02/05/2023,286,748,300,1334,14938400000
03/05/2023,579,197,104,880,8000400000
04/05/2023,77,445,641,1163,31436700000
05/05/2023,142,855,520,1517,14732100000
06/05/2023,798,715,971,2484,32467700000
07/05/2023,419,724,436,1579,20621900000
08/05/2023,687,976,749,2412,49988100000
09/05/2023,615,492,884,1991,54043900000
10/05/2023,492,836,715,2043,32688600000
11/05/2023,476,128,479,1083,19812500000
12/05/2023,504,14,226,744,8190200000
13/05/2023,252,98,852,1202,14387800000
14/05/2023,159,162,195,516,6950400000
15/05/2023,163,986,372,1521,27356300000
16/05/2023,688,490,226,1404,14252000000
17/05/2023,756,181,532,1469,36082900000
18/05/2023,859,817,485,2161,50465700000
19/05/2023,342,717,46,1105,15749100000
20/05/2023,963,437,221,1621,14123000000
21/05/2023,998,283,554,1835,22036500000
22/05/2023,267,364,75,706,10383600000
23/05/2023,604,241,592,1437,40895400000
24/05/2023,580,545,105,1230,16211500000
25/05/2023,670,646,229,1545,26464800000
26/05/2023,910,432,637,1979,48760400000
27/05/2023,258,882,524,1664,32587000000
28/05/2023,793,489,168,1450,20678200000
29/05/2023,98,949,129,1176,13283400000
30/05/2023,252,678,960,1890,36453600000
31/05/2023,475,47,967,1489,28237300000
01/06/2023,935,666,139,1740,25912200000
02/06/2023,116,38,739,893,27271500000
03/06/2023,759,356,22,1137,13177900000
04/06/2023,635,233,218,1086,17989700000
05/06/2023,247,307,671,1225,16902700000
06/06/2023,695,306,792,1793,29149100000
07/06/2023,660,92,549,1301,35102500000
08/06/2023,650,225,612,1487,34013500000
09/06/2023,651,58,433,1142,31140700000
10/06/2023,402,268,643,1313,36206000000
11/06/2023,300,288,153,741,12303000000
12/06/2023,904,143,822,1869,33591700000
13/06/2023,860,646,101,1607,25744300000
14/06/2023,707,79,990,1776,37987700000
15/06/2023,376,900,379,1655,29082200000
16/06/2023,195,669,219,1083,17370000000
17/06/2023,726,225,619,1570,30853700000
18/06/2023,475,793,320,1588,23311000000
19/06/2023,62,38,564,664,14915400000
20/06/2023,291,807,462,1560,26128800000
21/06/2023,264,78,239,581,14658200000
22/06/2023,256,447,649,1352,35016400000
23/06/2023,61,677,981,1719,32150400000
24/06/2023,363,831,401,1595,28359500000
25/06/2023,593,594,957,2144,33706300000
